"","Condition","variable","Light_cycle","date","value"
"63","wt","Monitor9_ch16","LD",2024-02-26,6172
"64","wt","Monitor9_ch16","LD",2024-02-27,5986
"65","wt","Monitor9_ch17","LD",2024-02-24,13496
"66","wt","Monitor9_ch17","LD",2024-02-25,9803
"67","wt","Monitor9_ch17","LD",2024-02-26,7977
"68","wt","Monitor9_ch17","LD",2024-02-27,5056
"69","wt","Monitor9_ch18","LD",2024-02-24,7720
"70","wt","Monitor9_ch18","LD",2024-02-25,7937
"71","wt","Monitor9_ch18","LD",2024-02-26,8377
"72","wt","Monitor9_ch18","LD",2024-02-27,7925
"73","wt","Monitor9_ch19","LD",2024-02-24,6936
"74","wt","Monitor9_ch19","LD",2024-02-25,6697
"75","wt","Monitor9_ch19","LD",2024-02-26,7208
"76","wt","Monitor9_ch19","LD",2024-02-27,7798
"77","wt","Monitor9_ch20","LD",2024-02-24,10048
"78","wt","Monitor9_ch20","LD",2024-02-25,9246
"79","wt","Monitor9_ch20","LD",2024-02-26,11258
"80","wt","Monitor9_ch20","LD",2024-02-27,12803
"81","wt","Monitor9_ch21","LD",2024-02-24,3529
"82","wt","Monitor9_ch21","LD",2024-02-25,3617
"83","wt","Monitor9_ch21","LD",2024-02-26,5838
"84","wt","Monitor9_ch21","LD",2024-02-27,9057
"85","wt","Monitor9_ch22","LD",2024-02-24,16543
"86","wt","Monitor9_ch22","LD",2024-02-25,21208
"87","wt","Monitor9_ch22","LD",2024-02-26,25299
"88","wt","Monitor9_ch22","LD",2024-02-27,27066
"89","wt","Monitor9_ch23","LD",2024-02-24,15169
"90","wt","Monitor9_ch23","LD",2024-02-25,12542
"91","wt","Monitor9_ch23","LD",2024-02-26,12041
"92","wt","Monitor9_ch23","LD",2024-02-27,12546
"93","wt","Monitor9_ch24","LD",2024-02-24,12450
"94","wt","Monitor9_ch24","LD",2024-02-25,12650
"95","wt","Monitor9_ch24","LD",2024-02-26,20878
"96","wt","Monitor9_ch24","LD",2024-02-27,26041
"97","wt","Monitor9_ch25","LD",2024-02-24,4519
"98","wt","Monitor9_ch25","LD",2024-02-25,7066
"99","wt","Monitor9_ch25","LD",2024-02-26,12378
"100","wt","Monitor9_ch25","LD",2024-02-27,13896
"101","wt","Monitor9_ch26","LD",2024-02-24,3783
"102","wt","Monitor9_ch26","LD",2024-02-25,412
"103","wt","Monitor9_ch26","LD",2024-02-26,146
"104","wt","Monitor9_ch26","LD",2024-02-27,31
"105","wt","Monitor9_ch27","LD",2024-02-24,12336
"106","wt","Monitor9_ch27","LD",2024-02-25,9434
"107","wt","Monitor9_ch27","LD",2024-02-26,9103
"108","wt","Monitor9_ch27","LD",2024-02-27,10464
"109","wt","Monitor9_ch28","LD",2024-02-24,13946
"110","wt","Monitor9_ch28","LD",2024-02-25,14060
"111","wt","Monitor9_ch28","LD",2024-02-26,15338
"112","wt","Monitor9_ch28","LD",2024-02-27,17539
"113","wt","Monitor9_ch29","LD",2024-02-24,8444
"114","wt","Monitor9_ch29","LD",2024-02-25,6970
"115","wt","Monitor9_ch29","LD",2024-02-26,9793
"116","wt","Monitor9_ch29","LD",2024-02-27,13359
"117","wt","Monitor9_ch30","LD",2024-02-24,14507
"118","wt","Monitor9_ch30","LD",2024-02-25,13897
"119","wt","Monitor9_ch30","LD",2024-02-26,15242
"120","wt","Monitor9_ch30","LD",2024-02-27,16658
"121","wt","Monitor9_ch31","LD",2024-02-24,4976
"122","wt","Monitor9_ch31","LD",2024-02-25,3912
"123","wt","Monitor9_ch31","LD",2024-02-26,4608
"124","wt","Monitor9_ch31","LD",2024-02-27,5638
"125","wt","Monitor9_ch32","LD",2024-02-24,8440
"126","wt","Monitor9_ch32","LD",2024-02-25,9254
"127","wt","Monitor9_ch32","LD",2024-02-26,9115
"128","wt","Monitor9_ch32","LD",2024-02-27,12125
